Titre du document;Fichier;Description du document;Page;Institution;Cote du document;Cote origine;Date du document;Support;Dimensions du document;Source
Acte de fondation du collège de Navarre;Acte_de_fondation_du_college_de_Navarre_AE_II_308_A_et_B.jpg;"Acte de fondation du collège de Navarre à Paris, donné à 
Vincennes le 25 mars 1305 par Jeanne, reine de France et de 
Navarre, épouse de Philippe le Bel. Une petite charte est jointe 
À l’acte de fondation.";1;Archives nationales (France);"AE/II/308/A et 
AE/II/308/B";J//155/2;25 mars 1305;Parchemin;"62,5 x 49 cm et 
11 x 29,5 cm";http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_n200084n00001_2.jpg
Acte qui déclare le don par Charles VI à son frère Louis;Acte_qui_declare_le_don_par_Charles_VI_a_son_frere_K_532_B_n_17.JPG;"Acte qui déclare le don par Charles VI à son frère Louis, duc de 
Touraine et comte de Valois de l’hôtel de Nesle le 1er ou le 2 juin 
1388.";1;Archives nationales (France);K532/B n°17;;2 juin 1388;Parchemin;26,5 × 43 cm;
Charte de Charles V;Charte_Charles_V_AE_II_383.jpg;"Charte de Charles V faisant défense 
d 'aliéner l'hôtel Saint-Paul";1;Archives nationales (France);AE/II/383;J//154 n°5;Juillet 1364;Parchemin; 42 x 51,5 cm;http://www.culture.gouv.fr/Wave/image/archim/0012/dafanch06_n200110n00001_2.jpg
Confirmation par Clotaire II;Confirmation_Clotaire_II_AE_II_1.jpg;"Confirmation par Clotaire II d'une 
Donation faite à l'abbaye de Saint-Denis
Par un certain Dagobert";1;Archives nationales (France);AE/II/1;K// 1 n°7(1);juin ou juillet 625;Papyrus;32,5 x 76,5 cm;http://www.culture.gouv.fr/Wave/image/archim/0011/dafanch06_n203324n00001_2.jpg
"Convention signée sur les modalités de construction 
Et d’exploitation de la Tour de 300 mètres.";Convention_pour_la_construction_de_la_Tour_Eiffel_F_12_3770.jpg;"Convention signée le 8 janvier 1887 entre Édouard Lockroy, 
ministre du Commerce et de l’Industrie, Eugène Poubelle, 
Préfet de la Seine et Gustave Eiffel, ingénieur-constructeur, 
précise l’emplacement, ainsi que les modalités de construction 
Et d’exploitation de la Tour de 300 mètres.";1 sur 8;Archives nationales (France);F/12/3770;;8 janvier 1887;Papier;21 x 29,5 cm;
Donation de Frederic II;Donation_Frederic_II_AE_I_1_n_1.jpg;"Donation de Frederic II, empereur et roi 
des Romains, à Ryamond VII, comte de 
Toulouse, du Contat vanaissin et de 
Diverses autres terres";1;Archives nationales (France);AE/I/1 n°1;J//419 n°2;8 septembre 1234;Parchemin;37 x 34 cm;
Donation de Philippe III le hardi;Donation_Philippe_III_K_35_n_9.jpg;"Donation de Philippe III le hardi à son écuyer Herlier de 
Montmartre en 1285.";1;Archives nationales (France);K//35 n°9;;1285;Parchemin;23,5 x 25 cm;
Donation par Hugues Capet ;Donation_Hugues_Capet_AE_II_84.jpg;"Donation par Hugues Capet 
Du domaine de Maison-Alfort 
À l'abbaye de Saint-Maur-des-Fossés";1;Archives nationales (France);AE/II/84;K//18 n°1;20 juin 988;Parchemin;32,5 x 70 cm;http://www.culture.gouv.fr/Wave/image/archim/0013/dafanch06_s200005n00003_2.jpg
Doublure de pourpoint;Doublure_de_pourpoint_portant_les_instructions_de_Coligny_AE_II_667_a_et_c.JPG;"Doublure de pourpoint portant les instructions de 
Coligny aux assiégés de Rouen, 25 septembre 1562";1;Archives nationales (France);AE/II/667 (a) et (c);;25 septembre 1562;Tissu;;
Gazette des atours de Marie-Antoinette;Gazette_atours_Marie_Antoinette_AE_I_6_n_2_page4.jpg;;4 sur 43;Archives nationales (France);AE/I/6 n°2;;1782;Papier, tissu;36,5 x 24 cm;
